date,value__sum_values_chalco_price_2_weeks,value__index_mass_quantile__q_0.4_usa_inflation_value_26_weeks,value__absolute_maximum_usd_to_rub_2_weeks,value__time_reversal_asymmetry_statistic__lag_3_brazil_pmi_26_weeks,"value__fft_aggregated__aggtype_""centroid""_log10_norsk_hydro_volume_12_weeks",value__c3__lag_3_norsk_hydro_price_12_weeks,value__time_reversal_asymmetry_statistic__lag_2_export_australia_value_26_weeks,target
2020-05-10,3.092857142857143,0.3461538461538461,75.22327142857144,-1968.3755367347003,0.0907901095675956,13439.772336644692,-710218.2872588754,1552.4625850340135
2020-05-17,3.14,0.3846153846153846,74.18792857142857,-2305.8537367347003,0.0958509787653524,12608.93359339406,-578869.4506390766,1597.047619047619
2020-05-24,3.122857142857143,0.3846153846153846,74.18792857142857,-2749.2808714285775,0.0958703285503891,12135.424611362752,-356172.2520821409,1592.8333333333333
2020-05-31,3.087142857142857,0.4230769230769231,73.6078857142857,-3516.5703857142917,0.1009306568504056,11973.891352143926,-203171.6127976481,1594.78231292517
2020-06-07,2.9885714285714284,0.3846153846153846,71.9189142857143,-4328.25548571429,0.1023874194561437,12035.648166676405,-22718.8934111839,1608.2108843537414
2020-06-14,2.954285714285714,0.4230769230769231,70.89015714285713,-7308.883867346941,0.0998740385119249,12551.46103144026,120742.8841173791,1641.0238095238094
2020-06-21,3.0528571428571434,0.4615384615384615,69.08591428571428,-10844.807419387756,0.0750421756282986,13087.716562248175,170880.620753514,1680.112244897959
2020-06-28,3.06,0.5,69.76442857142857,-13464.530109183674,0.0779191460921148,13762.098254208897,241741.75059789632,1679.7278911564626
2020-07-05,2.9992857142857137,0.5769230769230769,69.76442857142857,-14992.0327377551,0.0794535954733723,14638.185114899095,308925.5333495777,1711.5136054421769
2020-07-12,2.986428571428571,0.6923076923076923,70.58575714285715,-16121.56777755102,0.1040804307581435,15312.750087447615,26518.375125668434,1749.5850340136055
2020-07-19,3.3600000000000003,0.6538461538461539,71.20398571428572,-16966.853691836735,0.0703500169342536,16066.069116164732,-673317.824062487,1775.1598639455783
2020-07-26,3.875714285714285,0.6153846153846154,71.23255714285715,-16442.29058367347,0.0817372541854696,17177.086695281596,-1324380.403194627,1766.387755102041
2020-08-02,4.051428571428571,0.6153846153846154,71.38329999999999,-15572.379325510206,0.0348418341036956,17898.83576988294,-1935836.2765171244,1778.003401360544
2020-08-09,4.07,0.5769230769230769,72.73934285714286,-14851.681963265306,0.0562800004586486,18325.52896559047,-2359145.73909523,1798.3248299319728
2020-08-16,4.212857142857143,0.5769230769230769,73.45809999999999,-12437.929163265306,0.0584205326480384,18969.428028958213,-1618325.9303423483,1789.4863945578231
2020-08-23,4.2457142857142856,0.5769230769230769,73.45809999999999,-10164.260468367343,0.0615689402424366,19627.428803091,-729482.2369592864,1789.3401360544217
2020-08-30,4.148571428571428,0.5769230769230769,73.62525714285714,-8177.960785714284,0.0718427032737649,19857.44289841941,159422.70118799197,1773.7074829931971
2020-09-06,4.095714285714285,0.5384615384615384,74.87049999999999,-5642.019685714278,0.058824619745954,19968.1148355019,1001650.4420947408,1763.4251700680272
2020-09-13,3.9257142857142857,0.5384615384615384,74.87049999999999,-1646.402748979583,0.0597659776452283,20260.449871147543,723057.3764009549,1782.081632653061
2020-09-20,3.7685714285714287,0.5,75.46732857142857,2963.166793877561,0.0519116425892632,20371.364739040087,-29210.149913912723,1845.9625850340135
2020-09-27,3.6742857142857144,0.4615384615384615,75.46732857142857,4633.255855102053,0.054339984105439,20361.586702420365,-743001.3945538704,1851.003401360544
2020-10-04,3.4942857142857147,0.4615384615384615,76.7943142857143,7349.568283673482,0.0512861521018725,20242.46156600989,-1513349.7700492754,1830.8537414965988
2020-10-11,3.2685714285714287,0.4230769230769231,78.11891428571428,10872.734977551034,0.0498677498105289,20219.04384459113,-1840753.1418315663,1871.4795918367347
2020-10-18,3.257142857142857,0.3846153846153846,78.11891428571428,16322.255891836749,0.0506831783375948,20025.14058986515,-1284313.802713832,1908.612244897959
