date,lme_price,lme_price_3features,lme_volume,bloomberg_metals_price,bloomberg_metals_change,ftse_index,ftse_index_change,sp_metals_price,sp_metals_change,mosexchange_price,mosexchange_change,baltic_dry_index,baltic_dry_index_change,usd_clp_price,usd_clp_change,usd_cny_price,usd_cny_change,usd_jpy_price,usd_jpy_change,usd_eur_price,usd_eur_change,usd_rub_price,usd_rub_change,dxy_price,dxy_change,chalco_price,chalco_volume,hongqiao_price,hongqiao_volume,norsk_hydro_price,norsk_hydro_volume,rusal_price,rusal_volume,alcoa_price,alcoa_volume,kaiser_price,kaiser_volume,australia_fed_rate_value,brazil_pmi_value,brazil_inflation_value,brazil_fed_rate_value,china_gdp_value,china_pmi_value,china_inflation_value,china_fed_rate_value,china_composite_pmi_value,peru_gdp_value,peru_fed_rate_value,peru_producer_price_index,peru_consumer_price_index,usa_gdp_value,usa_fed_rate_value,usa_inflation_value,usa_pmi_value,import_brazil_value,export_brazil_value,import_usa_value,export_usa_value,import_china_value,export_china_value,import_australia_value,export_australia_value
2021-02-09,2045.5,2052.0,1395275.0,138.31,1.38,16089.93,2.26,1798.1,-1.76,10331.67,-0.55,1306.0,-0.84,734.4,-0.11,6.4344,-0.16,104.57,-0.62,0.825,-0.59,73.8836,-0.56,104.57,-0.62,2.78,55997953.0,8.74,16265978.0,39.580002,6240281.0,3.81,8328000.0,21.76,5591000.0,104.790001,105100.0,,,,,,,,3.85,,,,,,,,,,,,,,,,,
2021-02-10,2070.5,2073.0,1389975.0,140.17,1.34,16404.35,1.95,1791.8,-0.35,10258.44,-0.71,1303.0,-0.23,724.88,-1.3,6.4576,0.36,104.57,0.0,0.8251,0.01,73.9408,0.08,104.57,0.0,2.76,23510000.0,8.94,17401600.0,40.360001,5889474.0,3.85,3331000.0,21.559999,5196600.0,107.379997,193200.0,,,,,,,,3.85,,,,,,,,,,,,,,,,,
2021-02-11,2075.5,2080.5,1384625.0,140.76,0.42,,,1797.2,0.3,10325.08,0.65,1313.0,0.77,725.75,0.12,6.4542,-0.05,104.72,0.14,0.8243,-0.1,73.6155,-0.44,104.72,0.14,2.74,0.0,9.15,0.0,41.369999,6812733.0,3.8,0.0,21.389999,3865100.0,106.650002,145200.0,,,,,,,,3.85,,,0.25,,,,,,,,,,,,,,
2021-02-12,2076.0,2081.0,1379975.0,141.5,0.52,,,1815.1,1.0,10281.02,-0.43,1339.0,1.98,721.5,-0.59,6.4582,0.06,104.93,0.2,0.8249,0.07,73.7114,0.13,104.93,0.2,,,,,41.02,5816019.0,,,21.66,3306000.0,108.620003,73900.0,,,,,,,,3.85,,,,,,,,,,,,,,,,,
2021-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-15,2079.0,2082.5,1379325.0,,,,,,,10355.37,0.72,1364.0,1.87,718.7,-0.39,6.4582,0.0,105.36,0.41,0.8243,-0.07,73.3225,-0.53,105.36,0.41,,,,,41.799999,4002639.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-16,2077.0,2086.0,1372475.0,142.29,0.55,,,1844.4,1.61,10360.85,0.05,1495.0,9.6,718.33,-0.05,6.4582,0.0,106.04,0.65,0.8258,0.18,73.6533,0.45,106.04,0.65,3.08,95408279.0,9.91,25559701.0,41.650002,3538287.0,3.9,5003495.0,22.43,4264300.0,110.900002,94400.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-17,2096.5,2103.5,1365375.0,142.51,0.15,,,1827.9,-0.89,10219.67,-1.36,1756.0,17.46,712.94,-0.75,6.4582,0.0,105.85,-0.18,0.8306,0.58,73.7194,0.09,105.85,-0.18,3.25,87512826.0,9.7,13448100.0,43.009998,7747857.0,4.2,31219000.0,21.93,4239500.0,111.010002,84400.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-18,2147.0,2161.0,1360850.0,144.89,1.67,16358.9,-0.28,1790.9,-2.03,10115.1,-1.02,1770.0,0.8,710.73,-0.31,6.4869,0.44,105.66,-0.18,0.827,-0.43,73.9036,0.25,105.66,-0.18,3.31,112517069.0,9.42,30240721.0,42.68,5237923.0,4.21,13451300.0,21.120001,3545600.0,107.449997,77200.0,,,,,,,,,,,,,,,,,,,,,,,,,
