date;alcoa_price;alcoa_volume
17.07.2020;13.5900000;500275
20.07.2020;12.8700000;263122
21.07.2020;12.8400000;321148
22.07.2020;13.0500000;314194
23.07.2020;13.0000000;404396
24.07.2020;12.5400000;286290
27.07.2020;12.6400000;288088
28.07.2020;13.0300000;240799
29.07.2020;12.9450000;264928
30.07.2020;12.7600000;318867
31.07.2020;12.9600000;483290
03.08.2020;13.0200000;355099
04.08.2020;13.6500000;237050
05.08.2020;14.0800000;426273
06.08.2020;14.7400000;727516
07.08.2020;14.6100000;344272
10.08.2020;14.9500000;557828
11.08.2020;16.0000000;378315
12.08.2020;15.2800000;207487
13.08.2020;14.6800000;226238
14.08.2020;14.3500000;154370
17.08.2020;14.7300000;218184
18.08.2020;14.5700000;274086
19.08.2020;14.8900000;422565
20.08.2020;15.0000000;132629
21.08.2020;14.8900000;194877
24.08.2020;14.8500000;205962
25.08.2020;15.1300000;117589
26.08.2020;15.0400000;168549
27.08.2020;15.2400000;206757
28.08.2020;15.0600000;176908
31.08.2020;15.2300000;238869
01.09.2020;14.5800000;211619
02.09.2020;14.7400000;239446
03.09.2020;14.5300000;197073
04.09.2020;14.5000000;240117
08.09.2020;14.0600000;270604
09.09.2020;14.3000000;141168
10.09.2020;14.2200000;187429
11.09.2020;13.8500000;221389
14.09.2020;14.0600000;136552
15.09.2020;14.2900000;244924
16.09.2020;13.9100000;382474
17.09.2020;13.5700000;350653
18.09.2020;13.5700000;401943
21.09.2020;12.8700000;361524
22.09.2020;12.3900000;197659
23.09.2020;12.1200000;239452
24.09.2020;11.6400000;232067
25.09.2020;11.4100000;301317
28.09.2020;11.9500000;245493
29.09.2020;12.0900000;275418
30.09.2020;11.7500000;366853
01.10.2020;11.6400000;338949
02.10.2020;11.0100000;308230
05.10.2020;12.0000000;273451
06.10.2020;12.0800000;450322
07.10.2020;11.9900000;194469
08.10.2020;12.5000000;208806
09.10.2020;12.9600000;337564
12.10.2020;12.5500000;245241
13.10.2020;12.3800000;346905
14.10.2020;12.7700000;303755
15.10.2020;11.5500000;559967
16.10.2020;12.2600000;205396
19.10.2020;12.6400000;318343
20.10.2020;12.9500000;226753
21.10.2020;12.8400000;376339
22.10.2020;13.2700000;213840
23.10.2020;13.8500000;279618
26.10.2020;13.2200000;193674
27.10.2020;12.9300000;198994
28.10.2020;12.4800000;173193
29.10.2020;12.1600000;178988
30.10.2020;12.7000000;207977
02.11.2020;13.1200000;192483
03.11.2020;13.9700000;247248
04.11.2020;13.5400000;386221
