date;rual_price;rual_volume;rual_price_change
27.01.2022;72,64;36,00M;2,67%
26.01.2022;70,75;27,37M;0,76%
25.01.2022;70,215;24,21M;0,40%
24.01.2022;69,935;47,01M;-4,92%
21.01.2022;73,55;26,06M;-0,61%
20.01.2022;74,005;25,88M;0,55%
19.01.2022;73,6;54,13M;5,08%
18.01.2022;70,045;38,86M;-5,00%
17.01.2022;73,735;35,44M;-0,36%
14.01.2022;74;40,23M;-2,37%
13.01.2022;75,8;59,64M;-3,13%
12.01.2022;78,25;35,36M;1,76%
11.01.2022;76,9;16,92M;0,79%
10.01.2022;76,3;30,67M;2,36%
06.01.2022;74,54;12,57M;1,21%
05.01.2022;73,65;29,03M;-0,67%
04.01.2022;74,15;11,04M;0,54%
03.01.2022;73,755;6,75M;0,70%
30.12.2021;73,245;12,24M;-0,16%
29.12.2021;73,36;13,66M;0,82%
28.12.2021;72,765;13,07M;0,50%
27.12.2021;72,4;10,73M;2,40%
24.12.2021;70,7;9,54M;-0,10%
23.12.2021;70,77;20,50M;2,50%
22.12.2021;69,045;24,38M;0,08%
21.12.2021;68,99;24,60M;2,36%
20.12.2021;67,4;18,33M;-1,02%
17.12.2021;68,095;21,28M;0,49%
16.12.2021;67,765;28,38M;1,64%
15.12.2021;66,67;22,64M;-0,28%
14.12.2021;66,855;33,75M;-2,11%
13.12.2021;68,295;21,37M;-2,51%
10.12.2021;70,05;12,06M;-2,19%
09.12.2021;71,615;19,04M;1,23%
08.12.2021;70,745;18,84M;-0,67%
07.12.2021;71,22;26,51M;5,04%
06.12.2021;67,8;17,74M;-1,19%
03.12.2021;68,62;15,82M;-0,43%
02.12.2021;68,915;36,84M;0,78%
01.12.2021;68,38;31,81M;0,85%
30.11.2021;67,805;341,42M;-5,56%
29.11.2021;71,8;34,56M;3,76%
26.11.2021;69,2;37,76M;-5,05%
25.11.2021;72,88;23,30M;1,36%
24.11.2021;71,9;28,32M;0,59%
23.11.2021;71,475;38,27M;5,70%
