"Date","Price","Open","High","Low","Vol.","Change %"
"09/26/2023","2,614.4","2,665.9","2,665.9","2,613.1","","-1.93%"
"09/25/2023","2,665.9","2,640.1","2,671.9","2,622.4","","0.97%"
"09/22/2023","2,640.1","2,615.7","2,665.4","2,615.7","","0.93%"
"09/21/2023","2,615.7","2,670.2","2,670.2","2,610.5","","-2.04%"
"09/20/2023","2,670.2","2,683.3","2,718.5","2,670.2","","-0.49%"
"09/19/2023","2,683.3","2,701.4","2,729.0","2,675.1","","-0.67%"
"09/18/2023","2,701.4","2,722.5","2,727.9","2,700.0","","-0.77%"
"09/15/2023","2,722.5","2,753.3","2,757.6","2,712.3","","-1.12%"
"09/14/2023","2,753.3","2,662.1","2,760.3","2,662.1","","3.43%"
"09/13/2023","2,662.1","2,642.8","2,667.3","2,642.5","","0.73%"
"09/12/2023","2,642.8","2,633.1","2,663.6","2,622.7","","0.37%"
"09/11/2023","2,633.1","2,625.8","2,674.6","2,625.8","","0.28%"
"09/08/2023","2,625.8","2,639.9","2,645.6","2,616.2","","-0.54%"
"09/07/2023","2,639.9","2,659.2","2,659.2","2,612.8","","-0.73%"
"09/06/2023","2,659.2","2,679.1","2,699.0","2,635.8","","-0.74%"
"09/05/2023","2,679.1","2,717.0","2,717.0","2,669.0","","-1.39%"
"09/01/2023","2,717.0","2,661.9","2,727.8","2,661.9","","2.07%"
"08/31/2023","2,661.9","2,656.4","2,673.8","2,655.6","","0.21%"
"08/30/2023","2,656.4","2,667.3","2,674.4","2,653.8","","-0.41%"
"08/29/2023","2,667.3","2,603.9","2,667.8","2,595.2","","2.43%"
"08/28/2023","2,603.9","2,579.0","2,623.1","2,579.0","","0.97%"
"08/25/2023","2,579.0","2,577.2","2,591.7","2,539.6","","0.07%"
"08/24/2023","2,577.2","2,619.6","2,619.6","2,574.0","","-1.62%"
"08/23/2023","2,619.6","2,616.5","2,638.0","2,604.0","","0.12%"
"08/22/2023","2,616.5","2,603.3","2,627.2","2,601.6","","0.51%"
"08/21/2023","2,603.3","2,618.7","2,624.4","2,582.4","","-0.59%"
"08/18/2023","2,618.7","2,614.6","2,626.5","2,584.9","","0.16%"
"08/17/2023","2,614.6","2,608.4","2,657.5","2,608.4","","0.24%"
"08/16/2023","2,608.4","2,603.0","2,641.1","2,594.4","","0.21%"
"08/15/2023","2,603.0","2,665.8","2,665.8","2,600.4","","-2.36%"
"08/14/2023","2,665.8","2,606.9","2,667.4","2,588.8","","2.26%"
"08/11/2023","2,606.9","2,600.4","2,614.4","2,579.6","","0.25%"
"08/10/2023","2,600.4","2,645.4","2,660.9","2,585.2","","-1.70%"
"08/09/2023","2,645.4","2,646.9","2,662.8","2,637.2","","-0.06%"
"08/08/2023","2,646.9","2,649.9","2,649.9","2,592.4","","-0.11%"
"08/07/2023","2,649.9","2,644.1","2,661.0","2,622.9","","0.22%"
"08/04/2023","2,644.1","2,642.4","2,681.9","2,634.4","","0.07%"
"08/03/2023","2,642.4","2,648.4","2,664.2","2,618.8","","-0.23%"
"08/02/2023","2,648.4","2,728.3","2,728.3","2,641.2","","-2.93%"
"08/01/2023","2,728.3","2,759.2","2,759.2","2,714.2","","-1.12%"
"07/31/2023","2,759.2","2,695.6","2,766.8","2,695.6","","2.36%"
"07/28/2023","2,695.6","2,673.6","2,696.2","2,662.2","","0.83%"
"07/27/2023","2,673.6","2,724.8","2,725.1","2,667.1","","-1.88%"
"07/26/2023","2,724.8","2,728.4","2,731.3","2,700.6","","-0.13%"
"07/25/2023","2,728.4","2,673.9","2,751.2","2,673.9","","2.04%"
"07/24/2023","2,673.9","2,643.2","2,691.7","2,639.1","","1.16%"
"07/21/2023","2,643.2","2,665.4","2,673.5","2,636.6","","-0.83%"
"07/20/2023","2,665.4","2,682.8","2,703.5","2,652.9","","-0.65%"
"07/19/2023","2,682.8","2,690.9","2,692.0","2,666.1","","-0.30%"
"07/18/2023","2,690.9","2,650.7","2,702.6","2,650.7","","1.52%"
"07/17/2023","2,650.7","2,638.2","2,666.8","2,618.0","","0.47%"
"07/14/2023","2,638.2","2,690.4","2,690.4","2,631.8","","-1.94%"
