date;chalco_price;chalco_adj;chalco_volume
17.06.2019;2.780000;2.667115;13660504
18.06.2019;2.730000;2.676885;8980665
19.06.2019;2.800000;2.755042;20398936
20.06.2019;2.830000;2.764811;26325242
21.06.2019;2.850000;2.774581;26871768
24.06.2019;2.830000;2.755042;10334118
25.06.2019;2.840000;2.676885;19703357
26.06.2019;2.770000;2.696424;8234000
27.06.2019;2.780000;2.715963;37633518
28.06.2019;2.780000;2.706193;11275869
02.07.2019;2.820000;2.696424;31659416
03.07.2019;2.750000;2.657345;24356305
04.07.2019;2.750000;2.628036;18290000
05.07.2019;2.710000;2.579188;22792280
08.07.2019;2.630000;2.540109;18099298
09.07.2019;2.630000;2.510800;13699848
10.07.2019;2.560000;2.520570;13642781
11.07.2019;2.580000;2.549879;16227461
12.07.2019;2.610000;2.540109;8739000
15.07.2019;2.610000;2.540109;6103437
16.07.2019;2.620000;2.540109;6926000
17.07.2019;2.600000;2.540109;7306000
18.07.2019;2.570000;2.559649;12528042
19.07.2019;2.620000;2.579188;21688713
22.07.2019;2.630000;2.579188;10679179
23.07.2019;2.640000;2.569419;15180797
24.07.2019;2.630000;2.549879;9762000
25.07.2019;2.630000;2.569419;5623645
26.07.2019;2.610000;2.530340;23802076
29.07.2019;2.590000;2.549879;16245199
30.07.2019;2.590000;2.549879;11190475
31.07.2019;2.610000;2.530340;12389459
01.08.2019;2.560000;2.510800;18316655
02.08.2019;2.500000;2.393565;37895780
05.08.2019;2.450000;2.295868;24891000
06.08.2019;2.300000;2.237250;31156139
07.08.2019;2.290000;2.237250;16126000
08.08.2019;2.310000;2.266559;11083700
09.08.2019;2.350000;2.237250;7065000
12.08.2019;2.290000;2.247020;6236000
13.08.2019;2.300000;2.188402;10543253
14.08.2019;2.280000;2.188402;9713442
15.08.2019;2.200000;2.178632;15261964
16.08.2019;2.240000;2.168863;12405990
19.08.2019;2.220000;2.227480;13684689
20.08.2019;2.300000;2.276329;20558523
21.08.2019;2.360000;2.286098;14969980
22.08.2019;2.360000;2.276329;8066975
23.08.2019;2.340000;2.295868;9570024
26.08.2019;2.260000;2.198172;15397779
27.08.2019;2.280000;2.207941;24698914
28.08.2019;2.260000;2.227480;6441758
29.08.2019;2.300000;2.178632;13624300
30.08.2019;2.240000;2.247020;17971600
02.09.2019;2.280000;2.256789;8248336
03.09.2019;2.300000;2.247020;6158320
04.09.2019;2.300000;2.276329;12680156
05.09.2019;2.350000;2.315407;17123830
06.09.2019;2.380000;2.413104;27582549
09.09.2019;2.460000;2.432643;26469468
10.09.2019;2.490000;2.471722;31917150
11.09.2019;2.600000;2.657345;48476408
12.09.2019;2.730000;2.686654;34769745
13.09.2019;2.760000;2.735502;35332636
16.09.2019;2.770000;2.696424;37390999
17.09.2019;2.740000;2.618267;16884172
