"Date","Price","Open","High","Low","Vol.","Change %"
"12/15/2023","9,139.74","9,139.74","9,139.74","9,139.74","","-0.01%"
"12/14/2023","9,140.33","9,140.33","9,140.33","9,140.33","","0.14%"
"12/13/2023","9,127.21","9,127.21","9,127.21","9,127.21","","-1.76%"
"12/12/2023","9,291.11","9,291.11","9,291.11","9,291.11","","0.29%"
"12/11/2023","9,263.92","9,263.92","9,263.92","9,263.92","","0.31%"
"12/08/2023","9,235.51","9,235.51","9,235.51","9,235.51","","0.42%"
"12/07/2023","9,196.89","9,196.89","9,196.89","9,196.89","","-0.14%"
"12/06/2023","9,209.93","9,209.93","9,209.93","9,209.93","","-0.01%"
"12/05/2023","9,210.55","9,210.55","9,210.55","9,210.55","","-1.89%"
"12/04/2023","9,387.92","9,387.92","9,387.92","9,387.92","","-0.43%"
"12/01/2023","9,428.57","9,428.57","9,428.57","9,428.57","","-0.56%"
"11/30/2023","9,482.00","9,482.00","9,482.00","9,482.00","","0.23%"
"11/29/2023","9,460.30","9,460.30","9,460.30","9,460.30","","-0.33%"
"11/28/2023","9,491.18","9,491.18","9,491.18","9,491.18","","0.26%"
"11/27/2023","9,466.16","9,466.16","9,466.16","9,466.16","","-0.58%"
"11/24/2023","9,521.66","9,521.66","9,521.66","9,521.66","","-0.87%"
"11/23/2023","9,604.87","9,604.87","9,604.87","9,604.87","","0.63%"
"11/22/2023","9,545.04","9,545.04","9,545.04","9,545.04","","-1.15%"
"11/21/2023","9,655.94","9,655.94","9,655.94","9,655.94","","0.67%"
"11/20/2023","9,591.93","9,591.93","9,591.93","9,591.93","","1.18%"
"11/17/2023","9,480.22","9,480.22","9,480.22","9,480.22","","0.09%"
"11/16/2023","9,471.42","9,471.42","9,471.42","9,471.42","","-1.12%"
"11/15/2023","9,579.05","9,579.05","9,579.05","9,579.05","","1.43%"
"11/14/2023","9,443.65","9,443.65","9,443.65","9,443.65","","0.21%"
"11/13/2023","9,424.02","9,424.02","9,424.02","9,424.02","","-0.13%"
"11/10/2023","9,436.37","9,436.37","9,436.37","9,436.37","","-0.73%"
"11/09/2023","9,505.97","9,505.97","9,505.97","9,505.97","","-0.06%"
"11/08/2023","9,511.32","9,511.32","9,511.32","9,511.32","","-0.13%"
"11/07/2023","9,523.85","9,523.85","9,523.85","9,523.85","","-0.26%"
"11/06/2023","9,549.04","9,549.04","9,549.04","9,549.04","","1.76%"
"11/03/2023","9,383.67","9,383.67","9,383.67","9,383.67","","0.89%"
"11/02/2023","9,301.12","9,301.12","9,301.12","9,301.12","","-0.51%"
"11/01/2023","9,348.61","9,348.61","9,348.61","9,348.61","","0.03%"
"10/31/2023","9,345.81","9,345.81","9,345.81","9,345.81","","-0.24%"
"10/30/2023","9,367.83","9,367.83","9,367.83","9,367.83","","0.57%"
"10/27/2023","9,315.12","9,315.12","9,315.12","9,315.12","","1.42%"
"10/26/2023","9,184.84","9,184.84","9,184.84","9,184.84","","0.28%"
"10/25/2023","9,159.11","9,159.11","9,159.11","9,159.11","","0.41%"
"10/24/2023","9,121.54","9,121.54","9,121.54","9,121.54","","0.72%"
"10/23/2023","9,056.75","9,056.75","9,056.75","9,056.75","","-1.36%"
"10/20/2023","9,181.66","9,181.66","9,181.66","9,181.66","","-0.58%"
"10/19/2023","9,235.63","9,235.63","9,235.63","9,235.63","","-2.13%"
"10/18/2023","9,436.48","9,436.48","9,436.48","9,436.48","","-0.71%"
"10/17/2023","9,504.09","9,504.09","9,504.09","9,504.09","","0.23%"
"10/16/2023","9,482.57","9,482.57","9,482.57","9,482.57","","-0.97%"
"10/13/2023","9,574.99","9,574.99","9,574.99","9,574.99","","-1.15%"
"10/12/2023","9,685.94","9,685.94","9,685.94","9,685.94","","0.91%"
"10/11/2023","9,598.66","9,598.66","9,598.66","9,598.66","","0.12%"
"10/10/2023","9,586.99","9,586.99","9,586.99","9,586.99","","-0.69%"
"10/09/2023","9,653.83","9,653.83","9,653.83","9,653.83","","-0.19%"
"09/28/2023","9,671.84","9,671.84","9,671.84","9,671.84","","-0.16%"
"09/27/2023","9,687.40","9,687.40","9,687.40","9,687.40","","0.27%"
"09/26/2023","9,661.41","9,661.41","9,661.41","9,661.41","","-0.51%"
"09/25/2023","9,711.14","9,711.14","9,711.14","9,711.14","","-0.71%"
"09/22/2023","9,780.18","9,780.18","9,780.18","9,780.18","","1.75%"
"09/21/2023","9,611.93","9,611.93","9,611.93","9,611.93","","-0.98%"
"09/20/2023","9,706.94","9,706.94","9,706.94","9,706.94","","-0.51%"
"09/19/2023","9,756.88","9,756.88","9,756.88","9,756.88","","-0.27%"
"09/18/2023","9,782.88","9,782.88","9,782.88","9,782.88","","0.23%"
"09/15/2023","9,760.31","9,760.31","9,760.31","9,760.31","","-0.51%"
"09/14/2023","9,810.05","9,810.05","9,810.05","9,810.05","","0.14%"
"09/13/2023","9,796.16","9,796.16","9,796.16","9,796.16","","-0.51%"
