date;hongqiao_price;hongqiao_adj;hongqiao_volume
20.05.2019;5.620000;3.548533;7745492
21.05.2019;5.180000;3.628574;8119193
22.05.2019;5.360000;3.668595;15285800
23.05.2019;5.450000;3.668595;18967229
24.05.2019;5.530000;3.675265;11944500
27.05.2019;5.570000;3.675265;14569500
28.05.2019;5.590000;3.728627;38217000
29.05.2019;5.600000;3.715286;9839788
30.05.2019;5.530000;3.728627;4493500
31.05.2019;5.540000;3.781988;8467698
03.06.2019;5.710000;3.768648;8311000
04.06.2019;5.590000;3.741967;3574734
05.06.2019;5.420000;3.679252;4319633
06.06.2019;5.230000;3.609570;5924000
10.06.2019;5.160000;3.644411;6072000
11.06.2019;5.140000;3.658347;7081679
12.06.2019;5.170000;3.700157;6336500
13.06.2019;5.230000;3.721062;5933955
14.06.2019;5.280000;3.546855;5529056
17.06.2019;5.100000;3.505045;3411656
18.06.2019;5.020000;3.498077;6427292
19.06.2019;5.080000;3.595633;4265000
20.06.2019;5.130000;3.679252;3297000
21.06.2019;5.280000;3.769840;6802832
24.06.2019;5.470000;3.741966;3539500
25.06.2019;5.340000;3.734999;3348699
26.06.2019;5.280000;3.651379;5680500
27.06.2019;5.220000;3.755903;9611171
28.06.2019;5.350000;3.839523;12633788
02.07.2019;5.500000;4.041604;10953904
03.07.2019;5.730000;4.048571;4141441
04.07.2019;5.720000;3.971920;2462000
05.07.2019;5.710000;3.999793;1302000
08.07.2019;5.700000;4.069477;6167000
09.07.2019;5.850000;4.097349;5527735
10.07.2019;5.780000;4.055540;5535000
11.07.2019;5.740000;4.062508;2450000
12.07.2019;5.910000;4.041604;4072000
15.07.2019;5.800000;4.118254;1873000
16.07.2019;5.800000;4.111287;3972000
17.07.2019;5.950000;4.146127;2317000
18.07.2019;5.850000;4.160064;3882500
19.07.2019;5.920000;4.201873;3599500
22.07.2019;5.900000;4.215810;4441949
23.07.2019;6.050000;4.222778;7420500
24.07.2019;6.150000;4.229747;5352500
25.07.2019;6.190000;4.229747;4031031
26.07.2019;5.850000;4.125223;5692796
